,County,State,Longitude,Latitude,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Annual Waste Acceptance Rate (tons per year),Designed Volume (acres^3),Current Volume Current (acres^3),Percent Available,Years until Fill,Years to Planned Closure,Difference in Years to fill and planned closure
2013,Cabo Rojo,PR,-67.152653,17.976252,2030.0,Open,,16.1,,,2756250.0,1095725.0,56400.0,,,,29.44,7.0,22.44
2014,Carolina,PR,-65.93762,18.408363,2030.0,Open,,87.7,,,4635164.0,4409199.0,93816.0,,,,2.41,7.0,-4.59
2016,Culebra,PR,-65.32154,18.322022,,Open,,7.0,,,,,2700.0,,,,,,
2017,Humacao,PR,-65.808347,18.13192,2070.0,Open,181.0,113.9,,138.0,48449881.0,22873135.0,694428.0,,0.36083957376000003,,36.83,47.0,-10.170000000000002
2018,Fajardo,PR,-65.679315,18.291343,2042.0,Open,,63.5,,,,5547761.0,163211.0,,,,,19.0,
2020,Guayanilla,PR,-66.138451,17.986272,,Open,,17.0,,,,,29549.0,,,,,,
2022,Hormigueros,PR,-67.097802,18.15081,2030.0,Open,29.0,13.0,,,,,30000.0,,,,,7.0,
2023,Isabela,PR,-67.042169,18.477891,,Open,,16.0,,,,,29484.0,,,,,,
2024,Jayuya,PR,-66.631817,18.206677,,Open,,9.0,,,,,10966.0,,,,,,
2025,Juana Diaz,PR,-66.517424,18.038957,,Open,,35.0,,,,,134784.0,,,,,,
2027,Lajas,PR,-67.097804,17.989905,,Open,,19.0,,,,,36254.0,,,,,,
2028,Mayaguez,PR,-67.14378,18.239143,2025.0,Open,,42.0,,,,3724761.0,13663.0,,,,,2.0,
2029,Moca,PR,-67.116116,18.414632,,Open,,21.0,,,,,154132.0,,,,,,
2030,Penuelas,PR,-66.702133,18.017306,,Open,,17.0,,,,,127740.0,,,,,,
2031,Ponce,PR,-66.658458,18.008428,2047.0,Open,,86.1,,,13647623.0,8819264.0,199633.0,,,,24.19,24.0,0.19000000000000128
2032,Salinas,PR,-66.236355,17.957711,2054.0,Open,,40.4,,,5818085.0,3847263.0,88267.0,,,,22.33,31.0,-8.670000000000002
2035,Toa Baja,PR,-66.204524,18.421713,2030.0,Open,,88.0,,,,11828237.0,228147.0,,,,,7.0,
2037,Vieques,PR,-65.417803,18.148718,,Open,,10.0,,,,,5316.0,,,,,,
2041,Providence,RI,-71.50216,41.80468,2030.0,Open,,244.0,,150.0,40537696.0,40436176.0,703335.0,,0.84021888,,0.14,7.0,-6.86
2046,Abbeville,SC,-82.5155,34.185,2030.0,Open,,,,,,,21343.0,,,,,7.0,
2049,Anderson,SC,-82.458,34.5752,2037.0,Open,113.0,90.3,,,8941483.0,7867207.0,445135.0,,,,2.41,14.0,-11.59
2052,Charleston,SC,-80.10907,32.81028,2040.0,Open,80.0,12.0,70.0,,7971075.0,4828942.0,187378.0,0.12855808,,,16.77,17.0,-0.23000000000000043
2053,Berkeley,SC,-80.04275,33.1325,2037.0,Open,275.0,40.0,,85.0,,5769007.0,384032.0,,0.07805312,,,14.0,
2063,Georgetown,SC,-79.3153,33.4529,2041.0,Open,40.0,,,,3581174.0,2286457.0,91018.0,,,,14.22,18.0,-3.7799999999999994
2064,Greenwood,SC,-82.0779,34.1977,2030.0,Open,115.0,32.0,,15.0,3728859.0,2901620.0,91091.0,,0.011019264,,9.08,7.0,2.08
2065,Jasper,SC,-80.925252,32.397979,2027.0,Open,,100.8,,79.0,9742568.0,7814188.0,210887.0,,0.18280958976,,9.14,4.0,5.140000000000001
2067,Horry,SC,-78.9609,33.8158,2042.0,Open,191.0,179.2,140.0,90.0,16061832.0,7840137.0,299406.0,0.613864832,0.37024727039999994,0.3968586387434556,27.46,19.0,8.46
2072,Lee,SC,-80.2725,34.18,2053.0,Open,203.0,141.8,,134.0,38541052.0,21208258.0,609607.0,,0.43620674816000005,,28.43,30.0,-1.5700000000000003
2074,Richland,SC,-80.6839,34.01375,2049.0,Open,75.0,42.1,,69.0,9376717.0,4978956.0,158899.0,,0.06668720832,,27.68,26.0,1.6799999999999997
2075,Dorchester,SC,-80.3963,33.135913,2043.0,Open,140.0,116.3,350.0,200.0,31635415.0,16677950.0,786649.0,1.1248832,0.533975168,0.5253061224489796,19.01,20.0,-0.9899999999999984
2080,Richland,SC,-80.782,34.1042,2043.0,Open,,145.3,,,44503187.0,23262836.0,1036757.0,,,,20.49,20.0,0.48999999999999844
2086,Aiken,SC,-81.734433,33.258457,2071.0,Open,289.0,85.0,170.0,80.0,28665000.0,5914113.0,323939.0,1.127867584,0.15610624,0.8615916955017301,70.23,48.0,22.230000000000004
2087,Greenville,SC,-82.312,34.54,2079.0,Open,350.0,33.3,,,30971852.0,4682604.0,348360.0,,,,75.47,56.0,19.47
2088,Union,SC,-81.821,34.6125,2122.0,Open,,64.3,,,80074101.0,11859561.0,826269.0,,,,82.56,99.0,-16.439999999999998
2089,Spartanburg,SC,-82.13861,34.99667,2041.0,Open,,127.5,40.0,40.0,9102862.0,4137422.0,161210.0,,0.11707968,,30.8,18.0,12.8
2093,Brookings,SD,-96.735,44.343,2057.0,Open,215.0,30.0,55.0,20.0,3610643.0,1162893.0,58893.0,0.27146416,0.01377408,0.9492600422832981,41.56,34.0,7.560000000000002
2094,Brown,SD,-98.621521,45.471056,2070.0,Open,,,,,7198767.0,1987784.0,68083.0,,,,76.54,47.0,29.540000000000006
2096,Hughes,SD,-100.0715,44.332,2282.0,Open,120.0,17.0,100.0,35.0,5673776.0,133933.0,23000.0,0.2754816,0.013659296,0.9504166666666667,240.86,259.0,-18.139999999999986
2097,Pennington,SD,-103.198,44.026,2033.0,Open,365.0,106.6,,75.0,4130588.0,3535884.0,150994.0,,0.183539616,,3.94,10.0,-6.0600000000000005
2098,Minnehaha,SD,-96.93,43.5005,2079.0,Open,320.0,110.3,130.0,130.0,31229386.0,10180000.0,212150.0,0.95500288,0.3291775552,0.6553125,99.22,56.0,43.22
2099,Brule,SD,-99.2122,43.7624,2040.0,Open,,40.0,80.0,,1400000.0,100000.0,14000.0,,,,92.86,17.0,75.86
2100,Clay,SD,-96.976,42.832,2076.0,Open,80.0,,,50.0,3587703.0,1024747.0,41947.0,,,,61.1,53.0,8.100000000000001
2101,Codington,SD,-97.0872,44.8474,2064.0,Open,65.0,24.0,75.0,35.0,4159900.0,1129741.0,57255.0,0.1119144,0.019283712,0.8276923076923077,52.92,41.0,11.920000000000002
2102,Blount,TN,-84.05903,35.73606,2070.0,Open,,86.0,,30.0,6335090.0,3045053.0,100793.0,,0.059228544,,32.64,47.0,-14.36
2103,Montgomery,TN,-87.5448,36.5387,2030.0,Open,148.0,101.2,,180.0,7694507.0,6451356.0,364490.0,,0.4181810688,,3.41,7.0,-3.59
2106,Hardeman,TN,-89.054,35.2869,2034.0,Open,,,,,,390301.0,20306.0,,,,,11.0,
2108,Bradley,TN,-84.966,35.157,2041.0,Open,,86.9,,,13421229.0,6559830.0,364265.0,,,,18.84,18.0,0.8399999999999999
2112,Hawkins,TN,-82.7917,36.5417,2142.0,Open,115.0,92.0,120.0,79.0,69106954.0,8928687.0,78263.0,0.31680384,0.1668500224,0.4733333333333334,768.92,119.0,649.92
2115,Marshall,TN,-86.8375,35.46,2031.0,Open,,86.6,,,15481871.0,9351844.0,618219.0,,,,9.92,8.0,1.92
2118,Anderson,TN,-84.038,36.115,2066.0,Open,,115.7,200.0,,34793788.0,20750679.0,364944.0,,,,38.48,43.0,-4.520000000000003
2119,Hamilton,TN,-85.0694,35.1927,2038.0,Open,,51.5,110.0,90.0,4610276.0,2137966.0,9484.0,,0.106404768,,260.68,15.0,245.68
2123,Cocke,TN,-83.1502,35.9559,,Open,,,,,,379459.0,32318.0,,,,,,
2134,Dyer,TN,-89.368,35.9927,2095.0,Open,,98.0,,,,396621.0,39000.0,,,,,72.0,
2135,Shelby,TN,,,2023.0,Open,,,,,,0.0,,,,,,0.0,
2136,Sullivan,TN,-82.35006,36.56115,2086.0,Open,94.5,,,,28803985.0,3746313.0,387187.0,,,,64.72,63.0,1.7199999999999989
2161,Washington,TN,-82.3322,36.3294,2038.0,Open,68.0,,,,11310778.0,7365246.0,176014.0,,,,22.42,15.0,7.420000000000002
2162,Madison,TN,-88.876414,35.59,2045.0,Open,,62.8,,,15267357.0,6316754.0,215306.0,,,,41.57,22.0,19.57
2163,Jefferson,TN,-83.4089,36.0587,2032.0,Open,100.0,,20.0,,,1065797.0,33826.0,0.0459136,,,,9.0,
2170,Hamblen,TN,-83.203596,36.148473,2040.0,Open,,18.9,,,3374014.0,2000787.0,209347.0,,,,6.56,17.0,-10.440000000000001
2178,Loudon,TN,-84.4119,35.7467,2024.0,Open,40.7,,,,4150607.0,3954230.0,133876.0,,,,1.47,1.0,0.47
2184,McMinn,TN,-84.681,35.4828,2032.0,Open,,64.0,,,20001092.0,11711393.0,948245.0,,,,8.74,9.0,-0.2599999999999998
2185,Rutherford,TN,-86.35837,35.94083,2027.0,Open,207.0,172.4,150.0,,41276585.0,31874580.0,1035087.0,0.71280864,,,9.08,4.0,5.08
2187,Gibson,TN,-88.795,35.929,,Open,,,,,,198457.0,6006.0,,,,,,
2190,Hamblen,TN,-83.2991,36.1524,2024.0,Open,72.0,28.2,,,,2100000.0,75012.0,,,,,1.0,
2192,Shelby,TN,-89.945,35.327,2263.0,Open,640.0,175.1,80.0,,77723610.0,15794911.0,291856.0,1.17538816,,,212.19,240.0,-27.810000000000002
2194,Obion,TN,-89.152,36.4025,2054.0,Open,,70.4,,,17090795.0,7615326.0,223974.0,,,,42.31,31.0,11.310000000000002
2196,Henry,TN,-88.3565,36.318,,Open,,,,,,292337.0,3432.0,,,,,,
2204,Rhea,TN,-84.912,35.56,2026.0,Open,,74.2,,,7281479.0,6180454.0,288865.0,,,,3.81,3.0,0.81
2211,Sevier,TN,-83.5538,35.8192,,Open,,,,,,253402.0,17160.0,,,,,,
2213,Smith,TN,-85.933982,36.269692,2025.0,Open,,,,,,132992.0,25454.0,,,,,2.0,
2215,Shelby,TN,-89.9189,34.99809,2076.0,Open,420.0,316.4,90.0,,53078559.0,34132573.0,469236.0,0.86776704,,,40.38,53.0,-12.619999999999997
2222,Clay,TN,-85.70786,36.560415,,Open,,17.0,,,,133987.0,9724.0,,,,,,
2225,Scott,TN,-84.486,36.551,2037.0,Open,87.0,42.5,,,11943300.0,6126508.0,304607.0,,,,19.1,14.0,5.100000000000001
2227,Benton,TN,-88.1375,36.0545,2039.0,Open,162.0,95.0,150.0,110.0,26251212.0,13857518.0,604560.0,0.55785024,0.23989856,0.5699588477366255,20.5,16.0,4.5
2228,White,TN,-85.582,35.893,,Open,,,,,,214429.0,11440.0,,,,,,
2231,Jones,TX,-99.745768,32.530345,2067.0,Open,,,,,15280115.0,1969989.0,115040.0,,,,115.7,44.0,71.7
2232,Jones,TX,-99.7535,32.535,2210.0,Open,368.0,114.1,90.0,,69106954.0,8152461.0,260078.0,0.760329216,,,234.37,187.0,47.370000000000005
2234,Angelina,TX,-94.69937,31.24451,2038.0,Open,,41.9,,,5001602.0,3540440.0,126070.0,,,,11.59,15.0,-3.41
2235,Tarrant,TX,-97.108334,32.8,2066.0,Open,,248.5,60.0,60.0,73070419.0,28900636.0,1090884.0,,0.342285888,,40.49,43.0,-2.509999999999998
2236,Harris,TX,-95.238334,29.958334,2042.0,Open,310.0,205.5,,,61779198.0,40309595.0,1266632.0,,,,16.95,19.0,-2.0500000000000007
2237,Travis,TX,-97.61395,30.34522,2025.0,Open,254.0,184.0,,94.0,27024366.0,24628503.0,838841.0,,0.3970608128,,2.86,2.0,0.8599999999999999
2238,Chambers,TX,-94.916667,29.671667,2040.0,Open,260.0,124.0,40.0,,14883495.0,10816345.0,350897.0,0.23875072,,,11.59,17.0,-5.41
2244,Lamar,TX,-95.335,33.623,2293.0,Open,,15.0,,,58401609.0,2059864.0,218805.0,,,,257.5,270.0,-12.5
2246,Fort Bend,TX,-95.4419,29.5559,2102.0,Open,750.0,239.0,36.0,,134112466.0,25893952.0,1260938.0,0.6198336,,,85.82,79.0,6.819999999999993
2247,Cameron,TX,-97.385,25.936,2050.0,Open,130.0,130.0,,,21663707.0,6990956.0,375637.0,,,,39.06,27.0,12.060000000000002
2249,Dallas,TX,-96.543,32.959,2053.0,Open,308.0,71.9,,86.0,21050975.0,8497395.0,658962.0,,0.14195107712000002,,19.05,30.0,-10.95
2250,Lubbock,TX,-101.86,33.670834,2027.0,Open,,230.0,60.0,,,5974575.0,18142.0,,,,,4.0,
2251,Denton,TX,-96.951,33.029167,2047.0,Open,,178.9,,,50389024.0,23433848.0,1125494.0,,,,23.95,24.0,-0.05000000000000071
2252,Nueces,TX,-97.568056,27.636667,2095.0,Open,,1620.0,285.0,,67142250.0,6273694.0,429811.0,,,,141.62,72.0,69.62
2253,Ector,TX,-102.5396,31.7548,2057.0,Open,,59.7,,,30144825.0,8605652.0,414704.0,,,,51.94,34.0,17.939999999999998
2254,Potter,TX,-102.0175,35.23,2109.0,Open,660.0,225.0,60.0,,48577814.0,9516185.0,277971.0,0.90908928,,,140.52,86.0,54.52000000000001
2255,Jefferson,TX,-94.124053,30.028925,2065.0,Open,328.0,239.5,48.0,,19090736.0,9529076.0,352887.0,0.3614318592,,,27.1,42.0,-14.899999999999999
2256,Brown,TX,-98.966667,31.633334,2040.0,Open,184.0,,,,,1300100.0,89493.0,,,,,17.0,
2259,Navarro,TX,-96.414167,32.091668,2110.0,Open,,127.2,,,12349469.0,3958097.0,115020.0,,,,72.96,87.0,-14.040000000000006
2260,Denton,TX,-97.075834,33.190001,2065.0,Open,152.0,80.0,,99.0,10636982.0,5436682.0,436659.0,,0.181817856,,11.91,42.0,-30.09
2261,Hidalgo,TX,-98.125471,26.397651,2040.0,Open,,148.0,,,,13599489.0,724156.0,,,,,17.0,
2262,Tarrant,TX,-97.239168,32.647501,2038.0,Open,303.0,129.5,,,32702781.0,19009006.0,962536.0,,,,14.23,15.0,-0.7699999999999996
2264,Dallas,TX,-96.95,32.77166,2047.0,Open,144.0,113.6,,,11871912.0,5302386.0,264915.0,,,,24.8,24.0,0.8000000000000007
2265,Kleberg,TX,-97.818,27.4467,2067.0,Open,37.5,37.5,,50.0,3495100.0,583309.0,30000.0,,0.043044,,97.06,44.0,53.06
2266,Webb,TX,-99.41,27.49417,2030.0,Open,200.0,118.1,50.0,,14731976.0,10970295.0,405724.0,0.229568,,,9.27,7.0,2.2699999999999996
2268,Midland,TX,-101.933389,31.966801,2076.0,Open,412.0,145.4,35.0,,15930097.0,6117917.0,284226.0,0.331037056,,,34.52,53.0,-18.479999999999997
2269,Nacogdoches,TX,-94.673334,31.65,2050.0,Open,322.0,105.0,20.0,,4500770.0,2492092.0,86885.0,0.147841792,,,23.12,27.0,-3.879999999999999
2271,Gray,TX,-100.923334,35.571667,2092.0,Open,,66.4,70.0,,5347566.0,1561142.0,49644.0,,,,76.27,69.0,7.269999999999996
2272,Ochiltree,TX,-100.78834,36.41667,,Open,147.0,132.0,27.0,27.0,1655740.0,1631100.0,6062.0,0.0911155392,0.0818180352,0.10204081632653061,4.06,,
2273,Jefferson,TX,-94.07167,29.87334,2127.0,Open,250.0,160.0,40.0,,11008267.0,4750805.0,139971.0,0.229568,,,44.71,104.0,-59.29
2275,Scurry,TX,-100.81364,32.683427,2179.0,Open,,38.0,,,6815454.0,1145086.0,31077.0,,,,182.46,156.0,26.460000000000008
2276,Nolan,TX,-100.43,32.455,2040.0,Open,135.0,,50.0,,,1283800.0,4210.0,0.1549584,,,,17.0,
2277,Victoria,TX,-96.9067,28.6934,2042.0,Open,136.0,75.0,,72.0,10008346.0,5266209.0,181075.0,,0.12396672,,26.19,19.0,7.190000000000001
2278,McLennan,TX,-97.258334,31.475001,2026.0,Open,250.0,200.0,85.0,85.0,9234667.0,8707580.0,342041.0,0.487832,0.3902656,0.19999999999999996,1.54,3.0,-1.46
2279,Wichita,TX,-98.65477,33.87365,2222.0,Open,300.0,155.0,40.0,,28504878.0,5303625.0,165286.0,0.2754816,,,140.37,199.0,-58.629999999999995
2280,El Paso,TX,-106.173361,31.594183,2038.0,Open,,255.0,38.0,,21551248.0,11559596.0,538482.0,,,,18.56,15.0,3.5599999999999987
2281,Galveston,TX,-95.190834,29.424167,2036.0,Open,168.0,139.7,,103.0,23791470.0,23629279.0,686203.0,,0.33032769087999997,,0.24,13.0,-12.76
2283,Bexar,TX,-98.64631,29.35008,2098.0,Open,244.0,202.0,100.0,,129896985.0,37602479.0,1186359.0,0.56014592,,,77.8,75.0,2.799999999999997
2284,Ellis,TX,-96.787501,32.223334,3000.0,Open,,100.0,,,30376101.0,5141927.0,49.0,,,,514983.14,977.0,514006.14
2285,Denton,TX,-96.96316,33.01615,2026.0,Open,314.0,296.0,,73.0,,72339857.0,697143.0,,0.4960505344,,,3.0,
2286,Rusk,TX,-94.7075,32.125,2076.0,Open,,51.4,,,9439616.0,2923685.0,219336.0,,,,29.71,53.0,-23.29
2288,Ellis,TX,-96.6526,32.391,2146.0,Open,,54.1,,,39926569.0,6781946.0,254864.0,,,,130.05,123.0,7.050000000000011
2290,Nueces,TX,-97.652096,27.739063,2061.0,Open,,51.3,,,13777928.0,4650612.0,238544.0,,,,38.26,38.0,0.259999999999998
2293,Fort Bend,TX,-95.7259,29.3965,2040.0,Open,350.0,74.7,185.0,185.0,38419641.0,14194822.0,1220255.0,1.4864528,0.3172514976,0.7865714285714286,19.85,17.0,2.8500000000000014
2295,Coryell,TX,-97.83331,31.1564,2060.0,Open,125.0,,,25.0,3399638.0,2240000.0,31202.0,,,,37.17,37.0,0.1700000000000017
2297,Galveston,TX,-95.0559,29.3881,2089.0,Open,287.0,255.0,66.0,,49018610.0,19090583.0,466851.0,0.4348477056,,,64.11,66.0,-1.8900000000000006
2298,Jefferson,TX,-94.169167,29.993334,2040.0,Open,235.0,116.9,,,17358975.0,11430805.0,478275.0,,,,12.39,17.0,-4.609999999999999
2299,Smith,TX,-95.182501,32.369167,2339.0,Open,201.0,96.9,350.0,120.0,118648888.0,11392171.0,300329.0,1.61501088,0.2669416704,0.8347121535181237,357.13,316.0,41.129999999999995
2302,Grayson,TX,-96.536,33.582,2098.0,Open,130.0,73.6,,84.0,12353023.0,4784727.0,93047.0,,0.14192812032,,81.34,75.0,6.340000000000003
2303,Dallas,TX,-96.9389,32.7839,2052.0,Open,150.0,70.2,80.0,,15970575.0,4512966.0,197646.0,0.2754816,,,57.97,29.0,28.97
2305,Wichita,TX,-98.684875,33.953033,2117.0,Open,186.0,79.4,,,21984014.0,4481006.0,192848.0,,,,90.76,94.0,-3.239999999999995
2306,Hardin,TX,-94.3567,30.341358,2060.0,Open,,27.5,,,1495256.0,930664.0,100.0,,,,5645.92,37.0,5608.92
2307,Hill,TX,-97.109,32.19,2083.0,Open,272.2,121.9,,,34217442.0,13913646.0,577554.0,,,,35.15,60.0,-24.85
2309,Kerr,TX,-99.118175,30.016747,2040.0,Open,,24.3,,45.0,1351711.0,722608.0,54429.0,,0.0251032608,,11.56,17.0,-5.4399999999999995
2310,Hidalgo,TX,-98.346247,26.411591,2194.0,Open,,,,,61849491.0,3327821.0,460142.0,,,,127.18,171.0,-43.81999999999999
2311,McLennan,TX,-97.06249,31.60481,2023.0,Open,,57.0,,,4314138.0,4289165.0,102722.0,,,,0.24,0.0,0.24
2314,Hunt,TX,-95.90413,33.2423,2161.0,Open,,97.1,,,31481388.0,5122599.0,180961.0,,,,145.66,138.0,7.659999999999997
2316,Harris,TX,-95.243334,29.827501,2037.0,Open,,388.0,130.0,,123783905.0,101097794.0,1528985.0,,,,14.84,14.0,0.8399999999999999
2317,El Paso,TX,-106.405,31.995,2078.0,Open,,112.0,22.0,,41667249.0,2428768.0,2.0,,,,19619240.5,55.0,19619185.5
2318,Dallas,TX,-96.718334,32.684168,2052.0,Open,996.0,436.3,140.0,,73289434.0,56959590.0,1615792.0,3.201096192,,,10.11,29.0,-18.89
2320,Comal,TX,-98.020419,29.732474,2033.0,Open,,97.5,,,17669353.0,12243687.0,614428.0,,,,8.83,10.0,-1.17
2321,Limestone,TX,-96.5143,31.6659,2135.0,Open,,36.2,,,7302946.0,1694878.0,43148.0,,,,129.97,112.0,17.97
2324,Bowie,TX,-94.4354,33.4641,2060.0,Open,53.9,53.1,,,11134925.0,7227421.0,165615.0,,,,23.59,37.0,-13.41
2325,Newton,TX,-93.84162,30.342953,2120.0,Open,,70.5,,,39184653.0,6256991.0,327311.0,,,,100.6,97.0,3.5999999999999943
2326,Galveston,TX,-95.053,29.484,,Open,,,,,,,,,,,,,
2327,Collin,TX,-96.518814,33.295432,2062.0,Open,,89.4,,,94356933.0,13613464.0,992111.0,,,,81.39,39.0,42.39
2329,Lamar,TX,-95.565,33.779,2174.0,Open,,89.0,,,16935431.0,4211085.0,31888.0,,,,399.03,151.0,248.02999999999997
2331,Gregg,TX,-94.832,32.45,2082.0,Open,240.0,85.4,,,30790202.0,13312821.0,253958.0,,,,68.82,59.0,9.819999999999993
2332,Titus,TX,-95.0143,33.1167,2124.0,Open,,39.4,,,19722786.0,3477928.0,303917.0,,,,53.45,101.0,-47.55
2333,Polk,TX,-94.92369,30.83268,2041.0,Open,95.0,38.6,,,8293966.0,3548547.0,196538.0,,,,24.15,18.0,6.149999999999999
2334,Webb,TX,-99.2625,27.485,,Open,346.0,15.0,,,,,52955.0,,,,,,
2338,Cherokee,TX,-95.268,32.0022,2028.0,Open,144.0,36.6,100.0,,5342655.0,3842632.0,174289.0,0.33057792,,,8.61,5.0,3.6099999999999994
2339,Tom Green,TX,-100.3868,31.5013,2031.0,Open,,147.0,,,7902921.0,6055664.0,203063.0,,,,9.1,8.0,1.0999999999999996
2340,Brazoria,TX,-95.36,29.090834,2051.0,Open,417.0,217.4,,30.0,48881635.0,27369030.0,1434913.0,,0.1497242496,,14.99,28.0,-13.01
2341,Montgomery,TX,-95.2692,30.3292,2048.0,Open,,138.4,,,20576021.0,12948733.0,365482.0,,,,20.87,25.0,-4.129999999999999
2343,Dallas,TX,-96.68,32.549,2037.0,Open,363.0,223.4,130.0,,64368618.0,29552441.0,1867937.0,1.083331392,,,18.64,14.0,4.640000000000001
2344,Randall,TX,-101.959,35.002,2220.0,Open,100.0,86.9,90.0,,54245673.0,7927633.0,264038.0,0.2066112,,,175.42,197.0,-21.580000000000013
2346,Bell,TX,-97.30919,31.07946,2078.0,Open,108.0,86.9,,,44407601.0,9441792.0,597490.0,,,,58.52,55.0,3.520000000000003
2347,Bexar,TX,-98.339168,29.435834,2057.0,Open,601.0,260.2,,113.0,79930520.0,36279220.0,1440099.0,,0.6749896076799999,,30.31,34.0,-3.6900000000000013
2348,Travis,TX,-97.757,30.109,2046.0,Open,,101.0,,,31176902.0,18996357.0,1245399.0,,,,9.78,23.0,-13.22
2349,Grayson,TX,-96.8419,33.6322,2083.0,Open,,45.9,,,9426375.0,2491415.0,239031.0,,,,29.01,60.0,-30.99
2352,Johnson,TX,-97.202,32.3562,2030.0,Open,219.0,122.0,,110.0,14846041.0,11022493.0,676750.0,,0.308080256,,5.65,7.0,-1.3499999999999996
2353,Grimes,TX,-96.144866,30.598127,2046.0,Open,,,,,21819164.0,4030732.0,615255.0,,,,28.91,23.0,5.91
2354,Parker,TX,-97.8585,32.716,2023.0,Open,,64.7,25.0,,5191760.0,3846562.0,150049.0,,,,8.97,0.0,8.97
2355,Lubbock,TX,-101.933,33.815,2232.0,Open,,80.0,,,54506374.0,5880640.0,321609.0,,,,151.2,209.0,-57.80000000000001
2357,Harris,TX,-95.266,29.879,2047.0,Open,170.0,107.6,60.0,,18299502.0,10248920.0,8.0,0.23415936,,,1006322.75,24.0,1006298.75
2358,Williamson,TX,-97.554,30.602,2075.0,Open,160.0,93.5,45.0,,49042025.0,10257234.0,816232.0,0.16528896,,,47.52,52.0,-4.479999999999997
2359,Utah,UT,-111.958306,40.033856,2070.0,Open,600.0,112.0,,,21609000.0,4917046.0,427805.0,,,,39.02,47.0,-7.979999999999997
2360,Beaver,UT,-112.668,38.3059,2026.0,Open,,6.0,,,,107648.0,7319.0,,,,,3.0,
2362,Davis,UT,-111.92,40.913,2050.0,Open,150.0,98.8,40.0,,5512500.0,3575589.0,98683.0,0.1377408,,,19.63,27.0,-7.370000000000001
2368,Davis,UT,-111.931,41.114,2044.0,Open,25.0,14.0,,,9670454.0,4944867.0,205585.0,,,,22.99,21.0,1.9899999999999984
2369,Duchesne,UT,-110.366667,40.267501,2044.0,Open,,,,409.0,,,39118.0,,,,,21.0,
2370,Carbon,UT,-110.448,39.534,3000.0,Open,,139.0,,,482003988.0,17177510.0,336413.0,,,,1381.71,977.0,404.71000000000004
2371,Emery,UT,-111.029,39.2623,2024.0,Open,,,,,,212184.0,10076.0,,,,,1.0,
2372,Millard,UT,,,,Open,,,,,,,,,,,,,
2373,Garfield,UT,-112.0745,37.7988,2044.0,Open,40.0,,,,,16200.0,5845.0,,,,,21.0,
2379,Utah,UT,-112.079779,40.215324,2050.0,Open,300.0,,,,18191250.0,2566825.0,548407.0,,,,28.49,27.0,1.4899999999999984
2380,Iron,UT,-113.232223,37.713889,2044.0,Open,,,,,,44962.0,40124.0,,,,,21.0,
2381,Juab,UT,-111.925279,39.684446,2044.0,Open,75.0,,,,,18300.0,5128.0,,,,,21.0,
2382,Kane,UT,-112.5,37.005556,2044.0,Open,40.0,,,,,39680.0,4000.0,,,,,21.0,
2384,Kane,UT,-112.608056,37.299167,2094.0,Open,40.0,10.0,,,,6560.0,2500.0,,,,,71.0,
2385,Daggett,UT,-109.699168,40.941112,,Open,20.0,,,,,32120.0,1200.0,,,,,,
2386,Millard,UT,-112.47138,39.32055,2034.0,Open,80.0,,,,,67650.0,13469.0,,,,,11.0,
2387,Cache,UT,-112.051,41.992,2100.0,Open,133.0,,,,12002036.0,315821.0,80182.0,,,,145.75,77.0,68.75
2389,Juab,UT,,,,Open,,,,,,,,,,,,,
2392,Rich,UT,-111.153612,41.777779,2030.0,Open,20.0,,,,,40688.0,3978.0,,,,,7.0,
2393,Salt Lake,UT,-112.042,40.746,2082.0,Open,,227.8,,,43739621.0,17735334.0,426962.0,,,,60.91,59.0,1.9099999999999966
2398,Sevier,UT,-111.901945,38.835001,2024.0,Open,66.0,,,,,70200.0,18744.0,,,,,1.0,
2400,Summit,UT,-111.400834,40.758334,2026.0,Open,23.6,,,,,358896.0,36302.0,,,,,3.0,
2401,Tooele,UT,-112.724416,40.358323,2634.0,Open,,46.6,,,39087518.0,2883763.0,205625.0,,,,176.07,611.0,-434.93
2404,Salt Lake,UT,-112.053,40.55862,2032.0,Open,189.0,121.2,150.0,130.0,15986250.0,11567658.0,408331.0,0.65082528,0.3617073408,0.4442328042328042,10.82,9.0,1.8200000000000003
2406,Uintah,UT,-109.47222,40.465,2025.0,Open,,,,,,2773000.0,46806.0,,,,,2.0,
2408,Tooele,UT,-112.73333,40.8411,2366.0,Open,,71.0,,,203261938.0,9294971.0,538567.0,,,,360.15,343.0,17.149999999999977
2409,Washington,UT,-113.445,37.1432,2058.0,Open,203.0,60.4,,,8268750.0,4311034.0,272196.0,,,,14.54,35.0,-20.46
2412,Sanpete,UT,-111.7489,39.12361,2066.0,Open,20.0,,,,,108396.0,12552.0,,,,,43.0,
2414,Accomack,VA,-75.53342,37.906058,,Open,,,,,,,36577.0,,,,,,
2416,Amherst,VA,-79.0376,37.4763,2055.0,Open,,38.0,,,1728296.0,678795.0,33018.0,,,,31.79,32.0,-0.21000000000000085
2417,Sussex,VA,-77.18108,37.06925,2101.0,Open,373.0,205.2,,,136357345.0,42599080.0,1124640.0,,,,83.37,78.0,5.3700000000000045
